Red,Green,Blue
88,102,123
88,103,126
88,103,126
89,103,125
90,104,126
88,104,127
88,104,127
89,104,127
90,104,126
90,104,126
88,105,128
88,107,128
89,107,127
89,105,127
92,105,125
91,105,126
93,105,124
90,107,128
91,107,129
89,106,129
95,105,126
90,107,128
90,104,127
91,104,127
92,105,126
94,105,126
95,108,126
94,105,127
94,108,130
92,107,130
91,107,129
91,107,129
91,107,128
91,104,127
92,104,127
94,109,127
95,106,127
97,107,127
95,109,127
93,108,126
91,107,125
95,109,130
94,109,130
93,108,130
92,109,129
92,109,128
92,107,127
93,106,127
95,107,127
97,108,127
98,109,128
96,111,129
94,111,128
92,109,126
95,107,127
99,110,130
97,111,130
96,110,130
95,109,130
94,110,129
94,110,128
94,108,128
87,104,122
96,109,127
97,111,128
98,112,129
95,112,130
92,111,129
90,108,126
88,105,124
99,111,131
101,112,130
100,111,130
83,99,117
98,110,131
97,109,130
97,110,129
97,110,129
96,108,128
96,108,128
97,112,128
97,114,129
97,114,130
94,112,130
91,110,129
87,107,126
86,104,123
84,102,120
98,114,130
103,116,131
103,114,131
102,112,132
101,113,132
100,112,131
99,110,131
99,112,130
99,113,129
99,112,130
81,98,112
97,118,130
97,117,130
96,115,129
92,113,127
89,110,125
85,105,122
83,103,119
82,102,115
103,114,133
106,120,137
105,120,137
105,118,136
104,116,135
104,115,134
77,97,111
102,113,132
102,115,131
101,117,130
101,117,131
99,119,132
97,122,133
95,119,131
93,115,129
89,112,125
84,108,122
80,102,118
78,99,115
98,118,131
111,125,141
107,124,141
106,123,142
104,121,140
103,119,138
102,118,135
101,116,134
100,114,133
99,116,132
73,94,111
97,120,132
95,121,134
92,119,135
89,116,132
86,113,128
82,107,123
78,101,118
74,97,114
83,111,125
108,127,145
104,125,147
101,123,144
99,121,141
98,120,137
98,118,134
98,115,132
96,116,130
95,118,129
93,120,129
90,119,130
86,116,130
68,89,103
79,105,119
75,99,113
72,93,108
66,84,94
103,127,139
99,123,136
95,120,132
95,123,130
95,121,127
96,115,124
94,116,122
91,117,120
89,114,119
85,112,117
81,112,116
77,104,111
73,95,105
69,89,99
62,79,91
61,73,81
91,116,123
90,119,122
90,117,119
90,110,117
88,109,114
84,108,111
81,103,108
78,99,105
75,97,102
71,90,97
68,80,92
65,77,86
80,99,109
82,104,114
81,102,112
60,66,75
78,96,106
75,93,103
73,88,98
71,84,93
68,81,88
66,74,83
63,67,79
60,67,76
72,87,100
70,86,97
68,82,94
66,77,91
65,75,87
62,73,83
61,71,79
59,62,73
58,63,79
59,68,81
56,61,68
57,65,76
57,65,73
56,62,71
56,59,66
55,57,60
58,60,67
58,60,65
57,59,63
56,59,62
56,57,57
57,56,58
102,118,137
97,104,131
101,114,140
107,129,149
99,106,123
103,114,134
107,126,144
111,141,154
114,145,152
108,123,136
95,111,123
98,110,122
103,112,124
113,148,159
111,136,147
114,150,156
95,111,125
96,116,127
113,151,165
100,114,124
105,120,125
111,132,138
113,142,152
111,155,159
114,138,143
100,123,141
98,119,134
97,115,129
96,113,128
101,118,127
107,126,130
113,156,170
116,147,156
109,154,162
97,116,130
110,140,156
104,132,148
100,124,140
99,119,133
107,151,166
96,116,131
102,122,132
110,130,135
117,141,148
119,152,162
113,160,175
97,115,134
115,148,161
110,140,155
104,131,147
100,123,140
99,118,133
98,116,131
97,131,153
103,123,136
112,134,141
119,146,154
121,154,167
113,156,180
105,145,170
113,137,147
120,159,176
117,153,168
113,146,161
108,138,154
103,130,146
99,122,140
98,118,133
98,115,132
98,113,136
105,123,141
103,143,169
122,150,159
123,156,170
113,155,180
93,127,150
107,128,150
118,158,173
115,151,165
111,144,158
107,136,150
102,129,144
98,121,138
98,117,132
99,116,132
99,118,141
90,125,144
115,140,158
124,151,164
125,158,168
114,160,172
102,146,161
100,117,133
116,157,167
113,149,160
109,141,153
105,135,146
101,127,141
97,120,136
99,117,131
89,117,139
102,120,145
109,132,158
116,144,169
123,155,168
123,160,167
112,155,164
100,138,153
108,120,150
114,152,162
111,144,155
107,137,148
104,131,142
100,123,138
98,117,134
101,116,130
104,117,134
88,108,134
113,133,165
116,150,181
120,161,174
118,163,166
108,145,157
98,126,145
86,104,122
86,102,119
109,139,150
105,133,144
102,127,139
100,120,136
98,115,133
103,115,131
109,118,136
114,125,151
116,142,166
117,161,180
117,161,170
114,153,160
104,134,149
96,119,138
88,107,128
120,134,151
107,133,145
103,129,141
101,123,137
99,119,135
98,116,134
105,114,133
112,119,138
109,142,153
120,153,163
117,174,175
101,123,141
94,112,131
87,104,123
86,101,116
114,158,164
116,152,160
117,141,150
111,126,140
105,118,135
99,115,134
99,117,134
100,120,134
101,124,138
104,128,141
108,147,158
86,100,113
87,100,118
92,109,124
98,120,133
112,159,169
104,135,145
87,101,112
87,100,115
91,107,119
94,115,126
99,127,138
103,138,151
107,147,163
111,148,156
112,145,149
108,133,142
104,122,137
99,114,135
98,116,133
98,118,132
98,120,134
86,102,109
87,104,112
87,103,114
89,104,116
91,110,121
94,120,132
98,130,142
102,140,153
107,140,150
109,139,147
106,134,143
103,126,139
100,118,135
98,116,131
87,105,110
95,116,130
96,116,129
87,103,112
95,114,126
98,117,130
101,121,135
102,128,141
104,133,145
105,133,145
103,132,144
99,131,143
95,122,134
92,113,125
90,108,116
89,104,112
87,103,112
92,113,125
87,103,112
87,101,112
87,102,112
88,103,111
89,105,110
90,106,112
92,107,119
94,114,126
97,122,134
100,124,139
102,126,143
102,129,148
101,126,143
101,123,135
94,113,123
97,118,128
93,113,122
101,124,135
101,127,143
100,128,146
100,124,140
98,122,134
96,119,127
94,113,123
92,108,118
90,108,115
89,107,113
88,104,113
87,103,112
87,102,111
97,119,129
101,124,135
86,101,110
86,102,111
87,103,113
88,105,114
89,107,116
90,109,117
91,109,118
93,113,120
94,117,122
96,120,129
97,124,136
98,129,143
93,115,124
97,120,130
100,128,141
98,126,139
99,125,135
96,124,140
95,120,132
94,116,124
93,114,117
92,109,117
91,105,118
90,107,120
88,107,119
87,106,116
86,104,113
86,102,110
85,101,109
95,120,132
96,126,135
95,123,137
83,99,106
84,100,108
85,101,109
86,103,112
87,105,115
88,105,119
89,105,119
91,105,118
91,108,116
92,111,115
92,113,122
93,116,129
93,120,133
94,120,136
91,120,131
86,103,113
85,102,111
84,101,109
89,105,117
91,106,118
93,121,132
93,119,132
92,117,131
91,114,126
91,111,122
91,110,118
91,108,118
88,104,116
89,104,115
90,111,123
90,114,125
91,116,127
91,117,129
90,106,118
90,107,119
90,108,121
88,103,113
90,109,122
90,112,125
90,111,122
89,106,123
90,106,122
90,108,120
90,110,120
89,109,120
89,108,119
89,110,123
157,184,220
154,179,209
153,177,205
154,180,215
151,174,205
