Red,Green,Blue
116,138,120
104,121,109
106,125,109
114,135,109
111,133,107
107,122,103
105,117,101
103,117,98
102,111,97
102,105,97
120,129,106
120,131,105
118,131,104
117,124,102
115,116,99
113,117,97
111,114,95
108,102,92
107,100,89
107,104,86
107,96,86
107,89,86
117,127,115
116,123,112
114,120,107
115,119,102
115,119,98
116,121,98
116,120,98
115,116,98
114,110,96
114,104,94
112,105,93
111,103,92
110,97,91
109,99,90
110,105,89
111,102,90
112,100,92
114,110,93
122,134,108
121,134,111
118,131,114
114,124,113
111,120,112
111,116,111
110,113,108
110,112,105
110,111,102
111,110,100
113,113,100
113,112,100
112,105,100
112,104,100
112,106,99
111,103,99
111,101,99
111,104,98
111,108,98
113,112,98
115,113,99
116,115,100
118,121,102
103,108,94
104,107,96
105,108,99
109,111,101
113,116,104
117,123,105
115,124,108
111,121,110
107,117,109
103,112,108
104,105,108
104,103,106
106,105,103
108,104,102
110,104,101
112,110,101
113,111,102
113,104,102
113,108,103
114,114,104
113,111,105
113,110,106
113,114,106
114,117,107
116,120,107
118,123,108
119,126,110
121,128,112
123,129,114
103,114,99
101,116,97
100,115,96
99,109,94
99,104,92
101,102,90
103,103,93
106,104,97
110,109,100
114,114,103
118,119,104
117,120,105
113,119,107
110,114,105
108,109,104
109,108,104
111,106,103
112,104,102
114,107,102
115,111,102
117,116,103
118,118,104
118,116,105
118,119,107
118,125,109
117,123,111
117,122,113
116,124,113
117,126,114
119,127,115
121,131,115
123,134,116
125,132,117
127,132,118
100,111,96
100,108,95
102,109,94
104,107,93
105,103,92
105,105,91
106,105,89
106,98,88
107,97,87
109,101,87
111,102,90
113,102,95
116,112,100
120,118,103
123,119,103
122,119,103
118,119,103
116,113,103
114,109,103
115,112,103
117,112,103
118,108,104
119,112,104
120,118,105
122,122,106
122,123,107
122,123,108
122,125,110
123,129,111
122,130,113
120,130,114
119,130,115
120,131,116
122,133,117
124,134,117
126,134,118
129,134,119
131,134,119
95,108,93
95,105,91
96,100,90
97,100,89
98,100,89
99,96,88
101,94,87
103,96,87
106,96,88
109,95,88
111,97,88
112,98,88
114,95,89
115,99,90
117,107,91
118,110,96
120,112,101
123,123,107
125,130,110
128,129,110
127,127,110
124,126,110
121,122,109
120,120,109
121,123,109
123,123,109
124,119,109
125,122,109
126,126,110
126,127,110
127,128,111
127,129,111
127,130,112
127,132,114
125,135,115
123,136,116
122,133,117
123,133,118
125,136,119
127,136,119
130,136,120
132,136,120
134,136,120
135,137,120
87,109,93
87,105,92
86,99,92
86,96,90
85,93,88
87,91,87
89,89,86
90,89,87
93,88,88
95,86,89
98,89,91
102,92,94
105,91,96
109,94,98
112,100,98
115,100,99
118,100,100
121,105,101
123,112,103
124,118,104
126,123,108
127,129,112
130,139,116
131,143,119
133,139,118
132,136,117
130,133,116
127,130,116
125,129,115
126,131,114
127,130,114
129,126,114
129,127,114
129,131,114
129,131,114
129,131,114
128,132,114
128,133,115
129,135,116
127,135,117
126,135,118
125,131,119
125,132,120
128,136,121
131,137,121
134,137,122
135,139,122
136,140,122
136,139,121
59,62,56
65,75,63
71,87,71
72,87,79
73,88,84
74,90,84
74,87,84
74,80,84
74,79,83
75,79,82
78,75,83
81,75,84
84,80,87
89,78,89
93,74,93
99,86,97
104,93,101
109,92,106
113,99,109
118,112,109
121,112,110
124,113,112
128,122,114
130,129,116
131,132,118
131,136,120
132,142,123
133,145,126
135,147,128
136,145,126
136,143,124
134,140,123
132,137,122
131,134,121
131,135,120
131,133,119
131,130,119
131,131,119
130,133,119
130,134,118
130,134,118
130,134,117
130,135,118
130,137,119
129,136,120
128,135,120
127,133,121
129,135,122
132,139,123
135,141,124
138,142,125
138,144,125
138,146,125
137,144,125
44,44,41
45,45,41
46,46,41
47,48,45
49,51,48
53,55,52
56,62,57
59,70,63
62,72,70
65,73,74
69,75,74
72,74,75
74,72,76
77,72,77
81,73,78
86,75,79
90,80,82
95,87,87
100,90,91
104,93,96
110,102,102
115,109,109
118,113,115
122,121,119
126,132,120
129,133,122
132,135,123
135,143,125
136,146,128
136,145,131
136,147,132
135,152,133
137,151,134
138,150,134
140,151,132
139,150,130
138,148,128
137,144,126
136,140,125
135,140,124
135,138,123
134,135,122
133,136,121
132,138,121
132,137,121
131,137,121
131,136,121
131,137,121
131,137,122
131,137,122
130,137,123
130,137,124
132,140,125
135,144,126
138,145,127
141,146,128
140,150,129
139,151,129
139,148,129
140,147,129
51,56,49
51,52,47
51,49,45
48,47,43
46,45,41
43,44,41
44,44,41
45,45,41
46,46,44
48,48,46
51,51,48
54,56,52
56,59,56
63,63,60
70,67,64
77,66,65
82,68,67
86,75,68
90,72,70
94,69,73
98,81,76
103,91,81
107,96,88
112,103,95
116,112,101
121,118,109
125,125,116
129,133,122
132,140,125
135,145,126
137,147,127
140,150,129
142,152,130
142,152,131
141,150,132
140,151,133
139,152,134
140,152,134
142,152,134
143,154,133
143,155,132
142,157,132
142,152,130
142,147,129
140,146,127
138,143,125
136,140,124
135,140,124
134,141,123
133,140,123
132,139,124
132,139,124
132,139,125
133,139,125
132,139,125
132,139,125
132,141,126
133,143,127
135,145,129
138,148,130
140,150,131
140,151,132
140,152,133
140,150,133
142,150,133
47,45,42
48,46,43
49,48,43
50,50,45
50,52,47
50,54,50
51,51,47
51,49,45
48,47,42
46,45,41
43,43,41
44,43,41
45,44,41
46,44,42
48,45,44
50,48,45
52,51,48
54,54,53
63,60,58
74,67,63
85,71,68
92,79,73
97,90,79
102,90,83
108,91,87
111,102,91
115,110,95
119,114,101
123,121,106
128,131,111
132,135,117
136,141,122
139,153,128
141,157,131
144,155,131
145,159,131
146,162,132
147,158,132
147,155,133
145,153,134
143,152,134
141,152,134
142,153,134
143,154,134
144,156,134
143,157,134
143,158,135
142,154,134
141,149,132
139,146,130
137,144,129
136,141,127
135,141,126
134,142,125
133,142,126
133,142,127
133,142,128
134,141,129
134,141,129
134,141,129
134,143,128
134,144,129
135,145,130
136,147,131
137,150,132
138,152,133
139,153,134
140,153,134
141,152,134
144,151,133
146,151,133
53,48,45
48,45,44
47,46,43
47,45,43
47,44,42
48,46,42
48,48,43
49,50,45
50,52,47
50,54,50
51,52,47
51,50,45
48,48,43
46,46,41
43,44,41
44,44,40
45,44,40
46,44,41
47,45,43
48,46,44
50,50,49
51,54,56
64,62,63
78,72,71
93,85,78
103,97,86
109,107,95
114,111,99
119,114,102
122,121,105
125,126,110
128,129,113
132,135,117
135,142,121
138,145,125
140,150,130
142,158,133
143,160,135
144,159,135
145,160,135
145,161,135
146,159,135
146,158,135
144,155,135
143,153,135
141,152,135
142,153,134
142,155,134
143,158,135
142,159,137
142,157,138
141,154,137
140,151,134
139,147,132
137,144,131
136,142,130
135,143,128
134,144,127
134,144,128
134,144,129
135,145,129
136,145,130
137,144,130
137,145,129
136,146,129
136,146,130
136,147,130
137,150,131
137,151,132
137,151,132
139,153,133
141,154,133
143,153,133
145,152,133
149,151,133
109,99,74
99,90,69
89,78,61
78,66,54
67,55,48
55,49,46
49,47,44
48,47,43
47,46,42
46,45,41
47,47,41
48,49,43
49,50,45
50,53,47
50,57,49
51,54,47
51,51,45
48,49,43
46,47,42
43,45,41
43,44,40
44,43,40
45,44,41
47,44,42
48,46,43
49,49,49
51,52,58
66,66,68
81,81,77
97,102,88
108,116,99
113,122,111
118,127,115
123,134,118
126,135,121
129,136,124
132,140,126
135,143,129
137,147,131
140,152,134
141,156,136
142,159,138
143,160,139
144,160,138
144,160,138
144,159,137
144,159,136
144,158,136
143,155,135
142,154,135
141,152,134
141,154,134
141,155,134
142,156,134
141,157,135
141,158,136
140,154,135
